filename,type
TCGA-OR-A5LM-01Z-00-DX2.5EF0A814-B9F8-4BC5-BA67-13AB47905536.svs,TCGA_ACC
TCGA-OR-A5LM-01Z-00-DX4.DF803EB7-FD51-47F6-8A4C-FA3B0532E49F.svs,TCGA_ACC
TCGA-OR-A5JZ-01Z-00-DX3.FB198529-3CEE-4B36-AACA-6515D6AB4337.svs,TCGA_ACC
TCGA-OR-A5K5-01Z-00-DX4.9C0CFC03-94D6-4267-BD48-2315D64A5ED2.svs,TCGA_ACC
TCGA-OR-A5K5-01Z-00-DX5.ECB798BF-5EEC-44A4-830F-C0884D40FD22.svs,TCGA_ACC
TCGA-OR-A5K5-01Z-00-DX2.C6F09B6F-77DC-4670-B8AE-F59DAFD9379D.svs,TCGA_ACC
TCGA-OR-A5K0-01Z-00-DX5.FC6C7D3F-C430-4683-888A-2DFEECCE1AC9.svs,TCGA_ACC
TCGA-OR-A5K0-01Z-00-DX3.7F768C6E-70D5-471D-BD56-95A85B6BDA1E.svs,TCGA_ACC
TCGA-OR-A5JB-01Z-00-DX5.A9B635E8-6FC1-41A2-8722-B1EDBF07C1DA.svs,TCGA_ACC
TCGA-OR-A5JB-01Z-00-DX1.D3E46BD3-48DA-4758-9C70-85F42DB1C61A.svs,TCGA_ACC
TCGA-OR-A5JI-01Z-00-DX5.4F5C6E00-2B26-432A-9C36-6C810AF0C7ED.svs,TCGA_ACC
TCGA-OR-A5JB-01Z-00-DX3.A71196CF-F710-49EC-8F1A-2F90F60CDA0C.svs,TCGA_ACC
TCGA-OR-A5JK-01Z-00-DX3.FA183F2D-D6B6-4B5C-BFBA-8369705AC88D.svs,TCGA_ACC
TCGA-OR-A5K9-01Z-00-DX5.8B1244DC-8D4B-49C7-AE8D-0D85B372150B.svs,TCGA_ACC
TCGA-OR-A5K9-01Z-00-DX1.A136472B-C35C-493C-8175-73CA4BF00520.svs,TCGA_ACC
TCGA-OR-A5LS-01Z-00-DX3.1AEAE07B-BE6E-44FC-9FE7-861AE91C3679.svs,TCGA_ACC
TCGA-OR-A5JC-01Z-00-DX1.C30ACB50-D8F2-4445-AA8A-39CB8358CD75.svs,TCGA_ACC
TCGA-OR-A5J9-01Z-00-DX1.178CB96D-045A-459A-9E41-0580F4E3EF42.svs,TCGA_ACC
TCGA-OR-A5JT-01Z-00-DX2.3F749D80-2832-4325-9042-C90F0FC93D66.svs,TCGA_ACC
